occurrenceID	taxonID	country	
C631	T321		
C632	T322		
C633	T323		
C634	T324		
C635	T324	http://www.geonames.org/3996063	
C636	T325		
C637	T326		
C638	T327		
C639	T328		
C640	T329		
C641	T329		
C642	T330		
C643	T331		
C644	T332		
C645	T333		
C646	T333	http://www.geonames.org/3996063	
C647	T334		
C648	T335	http://www.geonames.org/3996063	
C649	T336		
C650	T337		
C651	T337		
C652	T338		
C653	T338		
C654	T339		
C655	T340		
C656	T341		
C657	T342		
C658	T343		
C659	T344		
C660	T344	http://www.geonames.org/3996063	
C661	T345		
C662	T346		
C663	T347		
C664	T348		
C665	T349		
C666	T350		
C667	T351		
C668	T352		
C669	T353		
C670	T354		
C671	T354	http://www.geonames.org/3996063	
C672	T355		
C673	T356		
C674	T357		
C675	T358		
C676	T359		
C677	T359		
C678	T360		
C679	T361		
C680	T361		
C681	T361		
C682	T361		
C683	T362		
C684	T362		
C685	T362		
C686	T362		
C687	T362		
C688	T363		
C689	T363		
C690	T363		
C691	T364		
C692	T364		
C693	T365		
C694	T366		
C695	T366		
C696	T367		
C697	T367		
C698	T367		
C699	T367		
C700	T367		
C701	T368		
C702	T368		
C703	T368		
C704	T368		
C705	T369		
C706	T369		
C707	T370		
C708	T370		
C709	T371		
C710	T371		
C711	T371		
C712	T371		
C713	T372		
C714	T372		
C715	T372		
C716	T372		
C717	T373		
C718	T373		
C719	T373		
C720	T374		
C721	T374		
C722	T375		
C723	T375		
C724	T376		
C725	T377		
C726	T378		
C727	T379		
C728	T380		
C729	T381		
C730	T381		
C731	T382		
C732	T383		
C733	T383		
C734	T384		
C735	T385		
C736	T385		
C737	T386		
C738	T386		
C739	T387		
C740	T387		
C741	T388		
C742	T389		
C743	T390		
C744	T390		
C745	T391		
C746	T391		
C747	T392		
C748	T393		
C749	T394		
C750	T395		
C751	T395		
C752	T396		
C753	T396		
C754	T397		
C755	T397		
C756	T397		
C757	T398		
C758	T398		
C759	T398		
C760	T399		
C761	T400		
C762	T400		
C763	T401		
C764	T401		
C765	T401		
C766	T101		
C767	T107		
C768	T109	http://www.geonames.org/3996063	
C769	T111		
C770	T170	http://www.geonames.org/3996063	
C771	T172	http://www.geonames.org/3996063	
C772	T113		
C773	T128		
C774	T129	http://www.geonames.org/3996063	
C775	T131	http://www.geonames.org/3996063	
C776	T134	http://www.geonames.org/3996063	
C777	T135	http://www.geonames.org/3996063	
C778	T137	http://www.geonames.org/3996063	
C779	T141		
C780	T143	http://www.geonames.org/3996063	
C781	T146	http://www.geonames.org/3996063	
C782	T146	http://www.geonames.org/3996063	
C783	T148	http://www.geonames.org/3996063	
C784	T149	http://www.geonames.org/3996063	
C785	T149	http://www.geonames.org/3996063	
C786	T150	http://www.geonames.org/3996063	
C787	T152	http://www.geonames.org/3996063	
C788	T156	http://www.geonames.org/3996063	
C789	T157	http://www.geonames.org/3996063	
C790	T163	http://www.geonames.org/3996063	
C791	T171	http://www.geonames.org/3996063	
C792	T181	http://www.geonames.org/3996063	
C793	T185	http://www.geonames.org/3996063	
C794	T186		
C795	T198	http://www.geonames.org/3996063	
C796	T209		
C797	T210		
C798	T214		
C799	T215		
C800	T216		
C801	T217		
C802	T218		
C803	T219	http://www.geonames.org/3996063	
C804	T220		
C805	T222		
C806	T230		
C807	T231		
C808	T237		
C809	T242		
C810	T250	http://www.geonames.org/3996063	
C811	T265	http://www.geonames.org/3996063	
C812	T286	http://www.geonames.org/3996063	
C813	T288	http://www.geonames.org/3996063	
C814	T294	http://www.geonames.org/3996063	
C815	T297		
C816	T298		
C817	T300	http://www.geonames.org/3996063	
C818	T303		
C819	T311	http://www.geonames.org/3996063	
C820	T312	http://www.geonames.org/3996063	
C821	T314	http://www.geonames.org/3996063	
C822	T315	http://www.geonames.org/3996063	
C823	T323		
C824	T330	http://www.geonames.org/3996063	
C825	T332		
C826	T342		
C827	T343	http://www.geonames.org/3996063	
C828	T346	http://www.geonames.org/3996063	
C829	T348	http://www.geonames.org/3996063	
C830	T355	http://www.geonames.org/3996063	
C831	T356	http://www.geonames.org/3996063	
C832	T357	http://www.geonames.org/3996063	
C833	T358	http://www.geonames.org/3996063	
C834	T360	http://www.geonames.org/3996063	
C835	T363		
C836	T376	http://www.geonames.org/3996063	
C837	T377		
C838	T378	http://www.geonames.org/3996063	
C839	T382	http://www.geonames.org/3996063	
C840	T388	http://www.geonames.org/3996063	
C841	T389	http://www.geonames.org/3996063	
C842	T393	http://www.geonames.org/3996063	
C843	T110		
C844	T203		
C845	T247	http://www.geonames.org/3996063	
C846	T249	http://www.geonames.org/3996063	
C847	T269	http://www.geonames.org/3996063	
C848	T270	http://www.geonames.org/3624060	costa rica
C849	T273	http://www.geonames.org/3996063	
C850	T281	http://www.geonames.org/3996063	
C851	T289		
C852	T293		
C853	T287	http://www.geonames.org/3996063	
C854	T305		
C855	T359		
C856	T379	http://www.geonames.org/3996063	
C857	T399	http://www.geonames.org/3996063	
C858	T103	http://www.geonames.org/3996063	
C859	T124	http://www.geonames.org/3595528	
C860	T146	http://www.geonames.org/3996063	
C861	T146	http://www.geonames.org/3996063	
C862	T326	http://www.geonames.org/3595528	
C863	T101		
C864	T102		
C865	T109		
C866	T115		
C867	T116		
C868	T118		
C867	T123		
C868	T154		
C869	T154		
C870	T154		
C871	T162		
C872	T196		
C873	T207		
C874	T224		
C875	T227	http://www.geonames.org/3996063	
C876	T243		
C877	T258		
C878	T267		
C879	T279		
C880	T280		
C881	T299		
C882	T301		
C883	T307		
C884	T308		
C885	T309		
C886	T331		
C887	T337		
C888	T338		
C889	T363		
C890	T367		
C891	T368		
C892	T374		
C893	T375		
C894	T381		
C895	T383		
C896	T385		
C897	T386		
C898	T387		
C899	T390		
C900	T391		
C901	T395		
C902	T396		
C903	T398		
C904	T398		
C905	T400		
C906	T401		
C907	T111		
C908	T212	http://www.geonames.org/3996063	
C909	T212	http://www.geonames.org/3996063	
C910	T212		
